Date,Cases,Gompertz,New Cases,Italy,Germany,Spain
date,number,number,number,number,number,number
4/26/2020,965785,944500.7765,27631,863561.0813,588943.8166,1328730.318
4/27/2020,,966144.8311,,882641.1163,596117.201,1356788.03
4/28/2020,,986864.04,,900899.6272,602754.3714,1383212.204
4/29/2020,,1006670.318,,918348.6747,608889.3353,1408059.509
4/30/2020,,1025579.212,,935003.2994,614554.9617,1431390.731
5/1/2020,,1043609.343,,950881.051,619782.826,1453269.541
5/2/2020,,1060781.895,,966001.5557,624603.1014,1473761.427
5/3/2020,,1077120.145,,980386.1226,629044.4885,1492932.782
5/4/2020,,1092649.039,,994057.3873,633134.178,1510850.133
5/5/2020,,1107394.807,,1007038.993,636897.8387,1527579.503
5/6/2020,,1121384.627,,1019355.304,640359.6269,1543185.877
5/7/2020,,1134646.321,,1031031.159,643542.2125,1557732.785
5/8/2020,,1147208.087,,1042091.642,646466.8174,1571281.956
5/9/2020,,1159098.268,,1052561.9,649153.2646,1583893.067
